[2024-11-20 17:57:15:3508] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonMixinConfiguration'
[2024-11-20 17:57:15:3510] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'jsonMixinModuleEntries'
[2024-11-20 17:57:15:3510] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'jsonMixinModuleEntries' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@611627e7'
[2024-11-20 17:57:15:3511] DEBUG 37732 --- [  restartedMain] o.s.b.a.AutoConfigurationPackages    : @EnableAutoConfiguration was declared on a class in the package 'com.dhhan.demo'. Automatic @Repository and @Entity scanning is enabled.
[2024-11-20 17:57:15:3517] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'jsonMixinModule' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@611627e7'
[2024-11-20 17:57:15:3518] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'jsonMixinModule' via factory method to bean named 'jsonMixinModuleEntries'
[2024-11-20 17:57:15:3520] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'jsonComponentModule'
[2024-11-20 17:57:15:3520] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration'
[2024-11-20 17:57:15:3524] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'jacksonObjectMapperBuilder' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@611627e7'
[2024-11-20 17:57:15:3525] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'jacksonObjectMapperBuilder' via factory method to bean named 'standardJacksonObjectMapperBuilderCustomizer'
[2024-11-20 17:57:15:3528] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'jacksonObjectMapper' via factory method to bean named 'jacksonObjectMapperBuilder'
[2024-11-20 17:57:15:3543] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mappingJackson2HttpMessageConverter' via factory method to bean named 'jacksonObjectMapper'
[2024-11-20 17:57:15:3554] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'resourceHandlerMapping'
[2024-11-20 17:57:15:3555] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'resourceHandlerMapping' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:57:15:3556] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'resourceHandlerMapping' via factory method to bean named 'mvcConversionService'
[2024-11-20 17:57:15:3556] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'resourceHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
[2024-11-20 17:57:15:3616] DEBUG 37732 --- [  restartedMain] _.s.w.s.HandlerMapping.Mappings      : 'resourceHandlerMapping' {/webjars/**=ResourceHttpRequestHandler [classpath [META-INF/resources/webjars/]], /**=ResourceHttpRequestHandler [classpath [META-INF/resources/], classpath [resources/], classpath [static/], classpath [public/], ServletContext [/]], /favicon.ico=ResourceHttpRequestHandler [classpath [static/favicon.ico]], /swagger-ui*/*swagger-initializer.js=ResourceHttpRequestHandler [classpath [META-INF/resources/webjars/]], /swagger-ui*/**=ResourceHttpRequestHandler [classpath [META-INF/resources/webjars/]]}
[2024-11-20 17:57:15:3618] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'defaultServletHandlerMapping'
[2024-11-20 17:57:15:3619] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'requestMappingHandlerAdapter'
[2024-11-20 17:57:15:3620] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:57:15:3620] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
[2024-11-20 17:57:15:3621] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
[2024-11-20 17:57:15:3644] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocConfiguration$OpenApiResourceAdvice'
[2024-11-20 17:57:15:3646] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springdoc.core.configuration.SpringDocConfiguration$OpenApiResourceAdvice' via constructor to bean named 'org.springdoc.core.configuration.SpringDocConfiguration'
[2024-11-20 17:57:15:3655] DEBUG 37732 --- [  restartedMain] s.m.m.a.RequestMappingHandlerAdapter : ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
[2024-11-20 17:57:15:3680] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'handlerFunctionAdapter'
[2024-11-20 17:57:15:3681] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'mvcUriComponentsContributor'
[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'mvcConversionService'
[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'requestMappingHandlerAdapter'
[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'httpRequestHandlerAdapter'
[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'simpleControllerHandlerAdapter'
[2024-11-20 17:57:15:3683] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'handlerExceptionResolver'
[2024-11-20 17:57:15:3683] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'handlerExceptionResolver' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:57:15:3688] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'mvcViewResolver'
[2024-11-20 17:57:15:3689] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcViewResolver' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:57:15:3690] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'viewNameTranslator'
[2024-11-20 17:57:15:3691] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'defaultViewResolver'
